name,gdp,gdp_per_capita,gdp_growth,fertility,infant_mortality,sex_ratio,population,pop_growth,pop_density,urban_population,urban_population_growth,imports,exports,unemployment,employment_industry,employment_agriculture,employment_services,tourists,surface_area,forested_area,internet_users,homicide_rate,refugees,threatened_species,co2_emissions,life_expectancy_avg,primary_school_enrollment_avg,secondary_school_enrollment_avg,post_secondary_enrollment_avg,region_Central America,region_Central Asia,region_Eastern Africa,region_Eastern Asia,region_Eastern Europe,region_Middle Africa,region_Northern Africa,region_Northern America,region_Northern Europe,region_Oceania,region_South America,region_South-Eastern Asia,region_Southern Africa,region_Southern Asia,region_Southern Europe,region_Western Africa,region_Western Asia,region_Western Europe
Montenegro,-0.2409480342538512,-0.2843993037666075,0.5703212523866092,-0.6812284952008568,-0.9396791424824451,-0.2010451204972336,-0.2779847737834542,-1.131189375359291,-0.14960054522224667,0.33115615723863945,-0.8263503314770934,-0.35469257359091355,-0.37360307777734175,1.4790367105859885,-0.0836767565755776,-0.7205315330417087,0.9323348681738202,-0.3893498255939133,-0.3645681226101859,1.3652209371913342,0.5592560854560474,-0.45220721293582444,-0.3783948430827637,-0.406748132161947,-0.2227690045845157,0.5523111498473022,-0.19060665929620066,0.21055847622896373,0.5627658062697041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Morocco,-0.18255619883991103,-0.49276298808383906,0.12783671415724612,-0.2168429643562232,-0.09137386105009813,-0.16910122803172087,-0.041036718298913546,0.029426884103261924,-0.13213649748703804,0.1443730534709078,0.16712010435096433,-0.1877299319216945,-0.26941516528729487,0.35269921118719644,0.23306307677353896,0.49358028330507164,-0.7208111561089701,0.3132868566496536,-0.14637720267431523,-0.7939860925371761,0.32769529716416484,-0.5317161734520134,-0.3822017130771828,-0.10460047912507693,-0.1530072366750656,0.5068774661052666,0.8604176168296207,-0.11869264879442025,-0.15753782566112173,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mozambique,-0.2361640322241895,-0.5978769875557238,0.03301859882238247,1.7180967474964175,1.5953150026165568,-0.35163775640607864,-0.07797352622054522,1.45787766498025,-0.15299633228187057,-1.0341393869683506,1.3261689461503652,-0.3360907198618033,-0.3540459646877452,-0.7736382882115954,-1.3750006925373597,2.146249599853161,-2.003424450811135,-0.3435256941432459,0.031523287416624884,0.7779519495555636,-1.5662645831933215,-0.32300515209701747,-0.3686661753192482,0.34982959104237565,-0.21602994292599995,-1.622015143521493,0.7696817080993337,-1.6298708892863625,-1.166667363794039,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,-0.20602222225923747,-0.5654598907467125,0.917987675281109,-0.37163814130443423,0.8263833147685229,-0.42008895454646283,0.07324142912340482,-0.5955203325304205,-0.13184543002478455,-1.2831835253253259,-0.32961511356306455,-0.3003635150472573,-0.31030862319801994,-1.0649324690905935,-0.4369634937726688,1.1398755467596315,-1.1996534527977782,-0.28793125238327705,-0.0303952395925232,0.6145763665290709,-0.8508454313064607,-0.4422685928713009,0.35751542539394404,0.18304408656602336,-0.18757612703448898,-0.7328130474273887,0.7432170680530005,-0.5137939988224817,-0.7616066416813497,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Namibia,-0.236266880476293,-0.3920748412212967,-1.0731927467510256,0.557132920384833,0.5783408348175443,-0.3698914092435147,-0.26549182584249215,0.5650959269321324,-0.17075144747933266,-0.3892929572940394,1.3813617481408127,-0.33672845809287394,-0.3526745487486334,2.6053742099847805,-0.42478119249001073,-0.07423626958714882,0.2938784725887424,-0.42911911685290094,0.04399543129013195,-0.9794394570537354,-0.14925080409374222,1.0882788970653356,-0.38626237440456324,-0.39707940726476715,-0.22052265069834376,-1.2325835685897686,1.6505761553558684,-0.6049712334443414,-0.62071595572911,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nepal,-0.2293526729826093,-0.5792452090624557,1.0760178675058816,-0.6038309067267512,0.3054941068714677,-0.8079790773419732,-0.0918052375320756,0.2079832317128854,-0.07363193757408912,-1.7590357182574037,0.6086625202745457,-0.34833598709208957,-0.37313751815590646,-1.1037716932077932,-0.558786506599252,1.8969642839492589,-2.07753099672726,-0.4515495475629874,-0.29732211047136947,-0.22879488639147208,-0.7367931027447873,-0.4422685928713009,-0.37357280775649954,-0.41641685705912684,-0.2129100069729834,-0.2784762100070437,3.004053460582647,-0.11700418148660813,-0.9870317392049334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Netherlands,0.23101012819419967,1.4136199737872568,-0.21982970873725363,-0.7586260836749624,-0.9545616912795039,-0.13259392235684944,-0.17018493496408116,-0.9526330277496676,0.07427884449438618,1.4296186960631558,-0.6055791235153029,1.4185316459637896,1.7093539763960095,-0.8124775123287952,-0.4978750001859604,-0.9882824279014549,1.4567811931187054,0.7599001257882153,-0.3505863733535417,-0.8558038807093625,1.3610785165562973,-0.6112251339682023,-0.2976046020900915,-0.5082697435823353,-0.03132973450742012,1.253287984724405,0.1345303469873268,1.7538175955693376,1.573656477977024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
New Zealand,-0.13580699333833104,1.044284847092046,-0.15661763184734467,-0.6038309067267512,-0.8900706464922493,-0.25124266580018173,-0.25059563438753424,-0.32768581111598516,-0.1633777384355779,1.1939162079753036,-0.5503863215248551,-0.21824431989096718,-0.23256016641832267,-0.6182813917427966,-0.05931215401026105,-0.822092217298854,1.052045442346022,-0.2786425770892228,-0.23634998603541726,0.3540585449462854,1.2262894009834102,-0.6012865139036787,-0.3877005252913438,-0.04900531096629285,-0.18532977314831706,1.253287984724405,-0.1830453335686772,1.0463497935960153,1.4838386656824716,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nicaragua,-0.23699460977526757,-0.5399013497792337,-2.242616169214343,-0.2168429643562232,-0.2451601986197048,-0.22842559975338703,-0.2388210472795601,-0.059851289701549924,-0.1455741119944069,-0.04241005029682384,-0.32961511356306455,-0.33555002875285206,-0.360830864597035,0.04198541824959875,-0.5222396027512772,0.3320064674414317,-0.16216180997202734,-0.4458387323821985,-0.3057968757618735,-0.20671710490140552,-0.9476171040254564,0.04472379029035629,-0.38922327328911144,-0.2907234333957889,-0.2191498788790165,0.22778483740419864,1.3745877663012456,-0.3415703334256343,-0.3917685910567204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,-0.23714888215342278,-0.5951335652191109,1.170835982840745,3.3434461054526348,1.218290433091069,-0.05045248458838856,-0.12400086395598724,2.261381229223556,-0.1629896484859066,-1.9235827382432624,0.9950121342076792,-0.36084813390820436,-0.37442231835149536,-1.2979678137937918,-1.5455529104945764,2.372452942062256,-2.202942074431472,-0.5214554297760176,0.2673020680654513,-1.310606179404734,-1.7287027481144928,-0.2335575715163049,-0.042036729798088486,-0.5904539052083639,-0.223018599460757,-1.3688846198158717,-2.0998414054959853,-2.0080875662363007,-1.2688131111094128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nigeria,-0.024699714929575935,-0.5351799350949522,-0.4410719778519353,2.1050846898669455,2.0021046697361617,0.02712553997071363,1.0641222399347863,1.190043143565815,-0.06247435152103916,-0.38039852378129013,1.3813617481408127,-0.11255307196559218,-0.0866703824113375,0.15850309060119785,-0.9364378463616602,0.5212786517388386,-0.20206533469609445,-0.402285166003411,0.0942409876162447,-1.0103483511398286,-0.46030260926194255,2.757967067905303,1.480626670858569,0.23863925472480746,-0.11818875143940089,-2.3619351358917684,-1.3399281698798335,-1.4086816719629607,-1.0662827500530683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Macedonia, The Former Yugoslav Republic Of",-0.23724861379182616,-0.3870427074325922,0.0014125603774279229,-0.9134212606231736,-0.5477720241598989,-0.09608661668197802,-0.2684828191289326,-1.131189375359291,-0.13218500873074693,-0.06909335083507095,-1.0471215394388842,-0.33193155748525544,-0.3493254066657499,1.7897505035235857,1.4025639999087376,-0.3835347170975454,-0.17926332056805605,-0.48361267857801893,-0.35856751684374805,0.3982141079264186,0.8253781854332856,-0.5515934135810606,-0.37501095864328005,-0.35840450767604776,-0.21627953780224124,0.41601009862119726,-0.3985431168031079,-0.07648096609911462,0.07845407330887993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Oman,-0.19596283210653082,0.10593588727875389,-0.3778599009620262,0.17014497801430487,-0.7164409105265642,4.19352180011543,-0.24873442677479293,2.0828248816139325,-0.16425094082233835,1.1405496068988095,3.257917015816033,-0.2837095356978303,-0.235508710687413,-0.8901559605631946,1.5731162178659541,-0.8774889541663874,0.3451830043768293,-0.37393750510600116,-0.21547921261384234,-1.3503461860868538,0.8599394971186411,-0.6410409941617732,-0.3893924675110856,-0.40916531338624196,-0.1437722262541366,0.7145743060688541,0.08916239262218276,0.7795719589616835,0.02033666535358084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pakistan,-0.09714799756660782,-0.5663693125157555,0.665139367721473,0.7119280973330443,1.9624178729440052,0.1731547626702,1.160460958191489,0.6543741007369442,-0.03327058280827362,-1.0163505199428524,0.33269851032230746,-0.19129294769093716,-0.2895136267739093,-0.5406029435083971,0.7203551280798719,0.5766753886063721,-1.0457398574335186,-0.4657921830138705,0.029866956860978434,-1.2664506164246008,-1.3761773689238657,-0.28325067183892305,0.8946224830509872,-0.30522652074155865,0.0033639532901239464,-0.6938698899342167,-0.6329442143563494,-1.3901085315770263,-1.1085499558387402,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Panama,-0.21001668215153912,-0.02660096778714784,0.12783671415724612,-0.13944537588211753,-0.37910313779323335,-0.09152320347261868,-0.2539066247723057,0.38653957932250893,-0.1441187746831395,0.3711811080460101,0.05673450037006916,-0.3202651070190387,-0.3726863944917249,-0.6571206158599964,-0.13240596170621072,-0.4481642434430014,0.618807173913291,-0.4094408862299416,-0.3335551607177347,1.4005453875754406,0.08922224653521131,0.2633734317098758,-0.29388232920665947,0.28698287921070664,-0.2135339941635867,0.7664985160597495,-0.6064795743100151,-0.25208156611158666,0.2651342321955975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,-0.22287167479324024,-0.3972092849590186,0.2226548294921096,-0.2168429643562232,-0.13602150744127423,0.049942606017508356,-0.23551005689478866,0.029426884103261924,-0.16352327216670465,0.09545366915078758,-0.16403670759172154,-0.3219149080950694,-0.33041791165257467,-0.46292449527399776,-0.2420466732501359,-0.16194776962741061,0.3109799831847715,-0.45099910754556194,-0.16644376080327036,0.3540585449462854,0.33460755950123605,0.034785170225832614,-0.38626237440456324,-0.5179384684795152,-0.21590514548787929,0.22778483740419864,0.145872335578612,-0.2605239026506478,-0.19980503144679376,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Peru,-0.12837075304987972,-0.3535305152433583,0.2226548294921096,-0.2942405528303289,-0.4435941825804877,-0.15997440161300286,-0.06676056667290703,0.29726140551769725,-0.15973939515740945,0.815902783683466,-0.2744223115726168,-0.21788039318301924,-0.20876970886404683,-0.7736382882115954,-0.558786506599252,0.17504904631675278,0.048756820712328806,-0.2282085104926174,0.2764867613384059,1.2018453541648415,-0.09740883656570883,0.1142941307420216,0.3377197014229647,1.299781812190295,-0.1634902214772012,0.5263490448518536,0.34246680449423295,0.7694411551148098,1.066450008548961,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Philippines,-0.07192212627795526,-0.4992123041293022,0.917987675281109,-0.06204778740801183,-0.10129556024813725,-0.05957931100710593,0.4335385701849927,0.11870505790807356,0.006023524595945793,-0.5627344107926472,0.0015416983796214566,0.04162014539574223,-0.11928481883700356,-0.9678344087975941,-0.010582948879627498,-0.04192150641442086,0.05445732424433851,-0.039063559504802524,-0.22026920965452462,-0.15814598562325902,0.1652571322429937,-0.024846550161309038,-0.19803380245828495,1.4568985917694675,-0.06764578900053277,-0.15515621127866583,0.3802734331318535,0.08898883006648321,-0.16986576068194276,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Poland,0.06040461650796702,-0.03156868420054515,0.5703212523866092,-0.9908188490972794,-0.9148748944873472,-0.37445482245287337,-0.03492412066548935,-1.2204675491641028,-0.11229539881009268,0.010956550779671002,-1.2678927474006747,0.4901407501140148,0.5337184895603813,-0.8124775123287952,1.4756578076046878,-0.6697511909131362,0.13996487722448284,0.8178339376222423,-0.2138763283409656,0.009645153701246943,0.766623955568181,-0.6012865139036787,-0.36748181576542893,-0.45025739419925626,0.1561160175498143,0.7859700948063365,-0.1830453335686772,0.885945399353854,0.9766321962544083,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,-0.11873262518230399,0.2728488852144805,-0.2830417856271627,-1.0682164375713847,-0.9297574432844059,-0.5661181772459492,-0.21549391186653527,-1.3990238967737263,-0.11826228178628895,0.26889512264939536,-0.8815431334675411,-0.05306318610636949,-0.1334140119991683,-0.24930876262939916,0.5741675126879721,-0.8174758225598927,0.7499187551495121,0.5814199501380183,-0.3250309828261795,0.18185184932376627,0.6698522828491854,-0.5913478938391551,-0.38736213684739546,0.44409965878987906,-0.16211744965787395,1.2013637747335095,0.28197619867404305,1.2236388609162991,0.8269358424301536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Qatar,-0.14440832771500509,1.9899887554624731,-0.5674961316317534,-0.6038309067267512,-0.76604940651676,9.135698305851166,-0.26327143781325685,0.9222086221513793,-0.05185038914878726,1.7542655192784986,2.540410589940214,-0.2636242473877513,-0.11203796829559187,-1.3756462620281913,4.204493294920152,-1.0252135858131441,-0.692308638448922,-0.4071015161558836,-0.365679906133839,-1.3503461860868538,1.5338850749830752,-0.6311023740972495,-0.3886310935122018,-0.5590305492925295,-0.12555180028851995,1.032610092263094,0.1080657069409925,0.7373602762663779,-0.33365118310142156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Romania,-0.11937672534699242,-0.15143047336041038,0.2226548294921096,-0.8360236721490679,-0.7462060081206817,-0.34707434319672,-0.1564511819479582,-1.7561365919929735,-0.1316998962936578,-0.25142923784642796,-1.4334711533720177,-0.029789206640937163,-0.09628833893168719,-0.6377010038013965,1.2441940832341798,-0.09731824328195453,-0.4585879936365274,0.2741368104102696,-0.25133309677867144,-0.03451040927888619,0.531607036107763,-0.541654793516537,-0.38583938884962776,-0.3414842391059831,-0.13715796203374153,0.4484627298655076,-1.3059022041059758,0.2561470935398936,0.3232516401508961,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
